CVE_INEGI,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Tarifa,Consumo 2010,Consumo 2011,Consumo 2012,Consumo 2013,Consumo 2014,Consumo 2015,Consumo 2016,Usuarios 2010,Usuarios 2011,Usuarios 2012,Usuarios 2013,Usuarios 2014,Usuarios 2015,Usuarios 2016
1001.0,1,1,Aguascalientes                                    ,Aguascalientes                                    ,1,281228528.0,290328904.0,288575239.0,293812094.0,297502527.0,300805383.0,306498937.0,231727.0,236475.0,244474.0,251805.0,258658.0,266481.0,272797.0
1001.0,1,1,Aguascalientes                                    ,Aguascalientes                                    ,DAC,21332290.0,19102368.0,15153914.0,14476334.0,13079553.0,11900606.0,12646327.0,4251.0,3827.0,3231.0,3081.0,2720.0,2500.0,2788.0
1002.0,1,2,Aguascalientes                                    ,Asientos                                          ,1,12453905.0,11911492.0,11319622.0,11940142.0,12002649.0,12342338.0,12505292.0,10536.0,10823.0,11147.0,11453.0,11699.0,12105.0,12538.0
1002.0,1,2,Aguascalientes                                    ,Asientos                                          ,DAC,351619.0,446171.0,442595.0,320024.0,349315.0,308396.0,322084.0,88.0,79.0,81.0,84.0,80.0,84.0,101.0
1003.0,1,3,Aguascalientes                                    ,Calvillo                                          ,1,17105088.0,17587571.0,17218182.0,17399194.0,17933324.0,18563252.0,18441071.0,15405.0,15796.0,16282.0,16640.0,17037.0,17442.0,17981.0
1003.0,1,3,Aguascalientes                                    ,Calvillo                                          ,DAC,473700.0,359322.0,260501.0,268949.0,296810.0,321688.0,414029.0,91.0,81.0,66.0,62.0,63.0,90.0,113.0
1004.0,1,4,Aguascalientes                                    ,Cosio                                             ,1,3894586.0,3952981.0,3812426.0,3818094.0,3946893.0,4020116.0,4027320.0,3504.0,3611.0,3687.0,3767.0,3847.0,3947.0,3994.0
1004.0,1,4,Aguascalientes                                    ,Cosio                                             ,DAC,121266.0,142841.0,75197.0,125973.0,66607.0,88051.0,176355.0,25.0,25.0,15.0,20.0,20.0,27.0,28.0
1005.0,1,5,Aguascalientes                                    ,Jesus Maria                                       ,1,29415268.0,31347766.0,31270993.0,32992698.0,34085993.0,35559531.0,37151685.0,25765.0,27519.0,29164.0,30321.0,31540.0,33256.0,34221.0
1005.0,1,5,Aguascalientes                                    ,Jesus Maria                                       ,DAC,1792779.0,1791185.0,1486982.0,1451081.0,1369593.0,1567116.0,2078458.0,338.0,326.0,317.0,319.0,284.0,351.0,457.0
1006.0,1,6,Aguascalientes                                    ,Pabellon de Arteaga                               ,1,11861147.0,12247086.0,11833997.0,11838249.0,11932030.0,12169817.0,12644833.0,9958.0,10119.0,10408.0,10564.0,10749.0,11063.0,11259.0
1006.0,1,6,Aguascalientes                                    ,Pabellon de Arteaga                               ,DAC,701503.0,575444.0,443824.0,439004.0,452463.0,421653.0,550184.0,112.0,116.0,85.0,73.0,79.0,91.0,134.0
1007.0,1,7,Aguascalientes                                    ,Rincon de Romos                                   ,1,14041309.0,14557149.0,13892691.0,14194680.0,14321300.0,14449193.0,14284279.0,12589.0,12959.0,13088.0,13365.0,13739.0,14247.0,14423.0
1007.0,1,7,Aguascalientes                                    ,Rincon de Romos                                   ,DAC,638147.0,621701.0,602707.0,483487.0,558197.0,526143.0,569124.0,129.0,116.0,118.0,111.0,104.0,105.0,150.0
1008.0,1,8,Aguascalientes                                    ,San Jose de Gracia                                ,1,2201737.0,2268085.0,2199162.0,2248943.0,2285349.0,2223568.0,2401158.0,2257.0,2349.0,2399.0,2458.0,2543.0,2618.0,2719.0
1008.0,1,8,Aguascalientes                                    ,San Jose de Gracia                                ,DAC,147679.0,116862.0,83318.0,108267.0,74199.0,95018.0,118455.0,33.0,26.0,23.0,25.0,16.0,22.0,23.0
1009.0,1,9,Aguascalientes                                    ,Tepezala                                          ,1,4998330.0,5155507.0,4933472.0,5132840.0,5187120.0,5285988.0,5253576.0,4574.0,4738.0,4890.0,4999.0,5119.0,5300.0,5406.0
1009.0,1,9,Aguascalientes                                    ,Tepezala                                          ,DAC,151116.0,171476.0,145191.0,128305.0,96125.0,148368.0,159176.0,39.0,38.0,32.0,31.0,29.0,29.0,43.0
1010.0,1,10,Aguascalientes                                    ,El Llano                                          ,1,11180060.0,12405572.0,5425672.0,4611255.0,4793995.0,4969827.0,4910011.0,11008.0,12020.0,4669.0,4784.0,4885.0,5109.0,5077.0
1010.0,1,10,Aguascalientes                                    ,El Llano                                          ,DAC,497039.0,515341.0,187166.0,170350.0,163719.0,180067.0,155518.0,92.0,102.0,38.0,33.0,31.0,36.0,31.0
1011.0,1,11,Aguascalientes                                    ,San Francisco de los Romo                         ,1,4648200.0,4787617.0,11777787.0,12883343.0,13263056.0,14783748.0,14751414.0,4526.0,4506.0,13597.0,13257.0,14074.0,15129.0,15683.0
1011.0,1,11,Aguascalientes                                    ,San Francisco de los Romo                         ,DAC,185576.0,174238.0,338363.0,381314.0,405554.0,438839.0,584989.0,42.0,32.0,89.0,84.0,64.0,69.0,92.0
2001.0,2,1,Baja California                                   ,Ensenada                                          ,1,142441418.0,150692600.0,154505320.0,160187002.0,163901603.0,167652214.0,171989753.0,103451.0,107364.0,111403.0,115402.0,119298.0,121978.0,124635.0
2001.0,2,1,Baja California                                   ,Ensenada                                          ,DAC,24416304.0,23318636.0,21265331.0,17198614.0,18519513.0,17631853.0,18883986.0,5283.0,4917.0,4793.0,4504.0,4016.0,4159.0,4255.0
2002.0,2,2,Baja California                                   ,Mexicali                                          ,1F,1839181014.0,1952689172.0,2089741801.0,1994863239.0,2052454024.0,2093116370.0,2169737455.0,318241.0,322497.0,326172.0,329053.0,331211.0,337160.0,344192.0
2002.0,2,2,Baja California                                   ,Mexicali                                          ,DAC,2855261.0,3380051.0,3931866.0,37845422.0,2883500.0,3179850.0,3499268.0,68.0,98.0,101.0,61.0,61.0,56.0,74.0
2003.0,2,3,Baja California                                   ,Tecate                                            ,1A,47443724.0,48011873.0,49832349.0,49482379.0,50621412.0,53610722.0,54443439.0,28655.0,29439.0,30181.0,30873.0,31965.0,33260.0,33663.0
2003.0,2,3,Baja California                                   ,Tecate                                            ,DAC,8794057.0,8125507.0,7642845.0,6249794.0,6545792.0,6855551.0,8494280.0,1617.0,1559.0,1563.0,1534.0,1340.0,1492.0,1886.0
2004.0,2,4,Baja California                                   ,Tijuana                                           ,1,596695405.0,613644030.0,640666940.0,642388177.0,684577182.0,721975030.0,803347073.0,413670.0,431146.0,445987.0,459408.0,472236.0,494155.0,524585.0
2004.0,2,4,Baja California                                   ,Tijuana                                           ,DAC,121997981.0,110722194.0,102871915.0,85513782.0,93047093.0,93873238.0,85271248.0,25900.0,23765.0,23875.0,24147.0,21487.0,23549.0,13361.0
2005.0,2,5,Baja California                                   ,Playas de Rosarito                                ,1,37663301.0,41505158.0,44005677.0,43223866.0,46770960.0,50739015.0,55874423.0,27344.0,28339.0,29104.0,30204.0,31844.0,35885.0,37229.0
2005.0,2,5,Baja California                                   ,Playas de Rosarito                                ,DAC,12032257.0,11712601.0,11638314.0,9678320.0,11270495.0,11941684.0,14512062.0,2389.0,2324.0,2436.0,2593.0,2506.0,2832.0,3474.0
2006.0,2,6,Baja California                                   ,San Quintín,1,47950593.0,50728220.0,52011710.0,53924355.0,55174816.0,56437399.0,57897560.0,34824.0,36142.0,37502.0,38849.0,40160.0,41063.0,41956.0
2006.0,2,6,Baja California                                   ,San Quintín,DAC,8219353.0,7849840.0,7158629.0,5789635.0,6234294.0,5935477.0,6356987.0,1779.0,1655.0,1614.0,1516.0,1352.0,1400.0,1433.0
